Test Case Identifier,Step No,Step Data,Data,Expected Result,Priority,Test Summary,Description,Status,Issue Link,TestSet,TestPlan,Sprint,Story,Assignee,Componente,Label,Label,Label,Label
MMCS - 35465 - 01,1,Ingresar a Compass,,"Se ingresa correctamente al sistema y se muestran las siguientes Opciones:
Inicio
ATOM
Grupo de tiendas
CANELA
Parrilla Promocional
SUMD
Digitalización
Red de Seguridad
WHPK Optimo
Tableros
Accesos directos
Manuales e instructivos
Cost Analytics
Price Gap
Políticas vigentes
Kraken
SUMD MDO Sams
Configuración de Perfil
Registrar Anuncio",P1,TC-14-35465-01 - Cancelaciones Solicitadas - Buscar por Descripción/UPC,,TODO,,MMCS-36885,MMCS-36880,bugs_mejoras_kraken (Future sprint in MX - MER - Kraken (Category Strategy) 2024),MMCS-35465,vn57rn3,PCS_Kraken (Price Value),DA_AX,DEV,SP-KR-25,TC-Compass
MMCS - 35465 - 01,2,Seleccionar la Opción Kraken,,"Se visualiza correctamente el menú de Digitalización mostrando las siguientes Opciones:

Kraken",P1,,,,,MMCS-36885,MMCS-36880,bugs_mejoras_kraken (Future sprint in MX - MER - Kraken (Category Strategy) 2024),MMCS-35465,vn57rn3,PCS_Kraken (Price Value),DA_AX,DEV,SP-KR-25,TC-Compass
MMCS - 35465 - 01,3,Seleccionar la pestaña de Automatches,,"Se visualiza correctamente la pantalla de Compass - Kraken - Automatches con los siguientes datos:
- Opción Formato de tienda
- Opción Banner
- Opción Competidor
- Opción Tribu
- Opción Super Squad
- Opción Squad
- Opción Departamento
- Opción Categoría
- botón Buscar (Deshabilitado inicialmente hasta que se realice como mínimo la selección de Competidor)
- botón Limpiar Filtros",P1,,,,,MMCS-36885,MMCS-36880,bugs_mejoras_kraken (Future sprint in MX - MER - Kraken (Category Strategy) 2024),MMCS-35465,vn57rn3,PCS_Kraken (Price Value),DA_AX,DEV,SP-KR-25,TC-Compass
MMCS - 35465 - 01,4,"Seleccionar Formato de tienda
(Seleccionar Walmart)",,"Se permite la selección de formato entre las siguientes Opciones:
- Walmart
- Bodega Aurrera
- Sams",P1,,,,,MMCS-36885,MMCS-36880,bugs_mejoras_kraken (Future sprint in MX - MER - Kraken (Category Strategy) 2024),MMCS-35465,vn57rn3,PCS_Kraken (Price Value),DA_AX,DEV,SP-KR-25,TC-Compass
MMCS - 35465 - 01,5,Seleccionar Banner,,"El sistema permite seleccionar entre 2 Opciones:
- On Demand
- Catalogo extendido",P1,,,,,MMCS-36885,MMCS-36880,bugs_mejoras_kraken (Future sprint in MX - MER - Kraken (Category Strategy) 2024),MMCS-35465,vn57rn3,PCS_Kraken (Price Value),DA_AX,DEV,SP-KR-25,TC-Compass
MMCS - 35465 - 01,6,Seleccionar Competidor,,"Al haber seleccionado la Opción Walmart se mostraran los competidores relacionados
Se permite la selección de competidor correctamente entre las siguientes Opciones:

- Palacio de Hierro
- Costco
- Amazon
- HomeDepot
- Justo
- Coppel
- Liverpool
- Sears
- H.E.B.
- Mercado Libre
- Office Depot
- Elektra",P1,,,,,MMCS-36885,MMCS-36880,bugs_mejoras_kraken (Future sprint in MX - MER - Kraken (Category Strategy) 2024),MMCS-35465,vn57rn3,PCS_Kraken (Price Value),DA_AX,DEV,SP-KR-25,TC-Compass
MMCS - 35465 - 01,7,Dar clic al botón Aplicar,,"El sistema realiza la selección correctamente y se habilita el botón Buscar
También se muestran correctamente las siguientes pestanas:
- Sugerencia de Matches
- Matches Activos
- Cancelaciones solicitadas",P1,,,,,MMCS-36885,MMCS-36880,bugs_mejoras_kraken (Future sprint in MX - MER - Kraken (Category Strategy) 2024),MMCS-35465,vn57rn3,PCS_Kraken (Price Value),DA_AX,DEV,SP-KR-25,TC-Compass
MMCS - 35465 - 01,8,Dar clic a la pestaña de Cancelaciones solicitadas,,"El sistema realiza correctamente el cambio de pestaña pero al no haber realizado la búsqueda solo se muestra el mensaje: ""Aquí se visualizaran los datos"" o en su defecto el mensaje: ""No se han encontrado resultados""",P1,,,,,MMCS-36885,MMCS-36880,bugs_mejoras_kraken (Future sprint in MX - MER - Kraken (Category Strategy) 2024),MMCS-35465,vn57rn3,PCS_Kraken (Price Value),DA_AX,DEV,SP-KR-25,TC-Compass
MMCS - 35465 - 01,9,Dar clic al botón Buscar,,"El sistema muestra el mensaje ""Resultados encontrados con éxito"" y la pestaña Cancelaciones Solicitadas mostrando la siguiente Información:

- Descripción: ""Las cancelaciones aprobadas regresaran a Sugerencias. Las cancelaciones rechazadas continuaran como Matches activos."" 
- botón Descargar Resultados
- botón Pantalla Completa
- Leyenda Cancelaciones Solicitadas
- Radio button de resultados (Todos/Top Venta/Evento) seleccionando por defecto la Opción Top Venta
- Campo de Texto Buscar por Descripción o UPC
- Información de artículos con los siguientes campos:
   a) Descripción Walmart
   b) UPC Walmart
   c) Artículos
   d) Seller Walmart
   e) Marca
   f) Competidor
   g) Descripción Competidor
   h) SKU Competidor
   i) Seller Competidor
   j) Tipo de Match
   k) Autorizo
   l) Fecha Match
   m) Precio Walmart
   n) Precio Competidor
   o) Motivo de Cancelación
   p) Solicita
   q) Fecha Solicitud
   r) URL
   s) Acciones
- Filtro Registros por Pagina
- Contador Total de Registros
- botones de Paginación",P1,,,,,MMCS-36885,MMCS-36880,bugs_mejoras_kraken (Future sprint in MX - MER - Kraken (Category Strategy) 2024),MMCS-35465,vn57rn3,PCS_Kraken (Price Value),DA_AX,DEV,SP-KR-25,TC-Compass
MMCS - 35465 - 01,10,Dar clic al Campo Buscar por Descripción o UPC,,El sistema habilita correctamente el campo para su edición,P1,,,,,MMCS-36885,MMCS-36880,bugs_mejoras_kraken (Future sprint in MX - MER - Kraken (Category Strategy) 2024),MMCS-35465,vn57rn3,PCS_Kraken (Price Value),DA_AX,DEV,SP-KR-25,TC-Compass
